aliquot_uuid	aliquot_barcode
95e1065f-3bd1-4249-b896-e8835c856582	TCGA-33-AASD-01A-11R-A405-07
387c6519-6529-4074-a5ab-00f8052a5732	TCGA-60-2724-01A-01D-1522-08
a762dd44-a8ac-4269-8163-bbf6d0f8d4b3	TCGA-43-3920-01A-01D-1553-08
7dc5f8ba-0080-43d3-8426-bd527a970761	TCGA-66-2793-01A-01D-1267-08
b3133dcd-d39f-441d-b553-0fe4553fc2ed	TCGA-RW-A681-01A-11R-A35K-07
b88f014e-bc0f-4775-8228-39e0b471c3b0	TCGA-33-4586-01A-01D-A320-08
89c48e53-c8a9-4518-b3b8-509cdcaff52b	TCGA-56-7582-01A-11D-A320-08
9623d295-c23d-4f2f-827c-69f767a26f1f	TCGA-66-2789-01A-01D-A320-08
7ac0b303-d685-4fa5-bfec-34d2ba1dbc8e	TCGA-66-2759-01A-01D-A320-08
355fc3cd-c43b-41cd-b608-3e88100693fd	TCGA-RW-A7CZ-01A-11R-A35K-07
7ea63ff9-467e-4645-bacb-d91fe95a8c62	TCGA-77-7138-01A-41R-2045-07
117806c9-4d1c-4b96-8f94-2fd3720d4609	TCGA-85-6561-01A-11R-1820-07
3361fa31-f545-4a50-912e-3bab98eb7930	TCGA-46-6026-01A-11R-1820-07
a3196a69-230e-4dfe-ba2d-d8c5a8310d29	TCGA-39-5019-01A-01R-1820-07
f5e09ce5-d3df-4c22-8607-63535c2d4611	TCGA-85-6175-01A-11R-1820-07
e4d0c9ca-ecf9-4ded-a572-3c4cc9ce955a	TCGA-39-5024-01A-21R-1820-07
2e6e7411-9875-418e-97a7-8fd61866d5a6	TCGA-56-6545-01A-11R-1820-07
b6b63f14-21a2-456c-895a-a8cf032b729a	TCGA-85-6560-01A-11R-1820-07
e9566249-b898-4da6-ae19-360b3c71aa20	TCGA-QR-A70V-01A-11R-A35K-07
bd265674-2868-40d9-9d1a-72f4baf887f0	TCGA-43-6647-01A-11R-1820-07
17d5f5c9-ed12-4dd7-810e-601b7545b47f	TCGA-22-5472-01A-01R-1635-07
8c1c733a-abed-468f-b4d0-d1ac34ba6d8b	TCGA-66-2770-01A-01R-0851-07
7db69d77-75ce-4f75-9e95-7205c55e5e6d	TCGA-34-7107-01A-11R-1949-07
27e89ada-fc8b-484f-8570-c26af5434438	TCGA-43-3394-01A-01R-0980-07
91c5d28b-85af-49ff-8307-140707d13d0e	TCGA-90-6837-01A-11R-1949-07
ca290d55-534f-47d9-a65a-1ba12dbaa233	TCGA-51-4079-01A-01R-1100-07
f1c8f94b-6397-4756-abf6-42a5e9e5c76e	TCGA-66-2763-01A-01R-0851-07
9a76d668-932a-47cd-a8c0-5840641e1aea	TCGA-66-2766-01A-01R-0851-07
9ee6277c-e6d1-494e-92b9-1df4b81ba155	TCGA-RW-A8AZ-01A-11R-A35K-07
05e29bda-269a-4b56-b179-8b56867c036e	TCGA-39-5021-01A-01R-1443-07
